iter	Passed	Remaining
0	46	46800
1	100	50282
2	140	46589
3	175	43768
4	214	42610
5	248	41140
6	284	40406
7	319	39599
8	354	38990
9	389	38533
10	424	38166
11	460	37889
12	496	37669
13	532	37526
14	575	37792
15	615	37879
16	655	37879
17	696	38003
18	744	38443
19	779	38211
20	816	38073
21	855	38027
22	894	37980
23	928	37751
24	963	37587
25	1004	37632
26	1042	37559
27	1092	37923
28	1130	37836
29	1167	37749
30	1204	37660
31	1241	37554
32	1280	37518
33	1318	37468
34	1356	37389
35	1392	37295
36	1435	37370
37	1471	37258
38	1514	37325
39	1550	37204
40	1586	37104
41	1623	37026
42	1664	37038
43	1704	37044
44	1742	36982
45	1779	36910
46	1816	36837
47	1851	36714
48	1889	36666
49	1925	36589
50	1968	36637
51	2006	36578
52	2045	36550
53	2082	36488
54	2121	36457
55	2159	36408
56	2199	36387
57	2242	36414
58	2283	36423
59	2325	36432
60	2363	36382
61	2404	36370
62	2448	36422
63	2488	36393
64	2525	36332
65	2563	36275
66	2602	36244
67	2641	36207
68	2680	36167
69	2718	36120
70	2757	36083
71	2806	36167
72	2851	36203
73	2897	36258
74	2966	36590
75	3012	36623
76	3058	36662
77	3101	36658
78	3140	36609
79	3176	36526
80	3214	36467
81	3250	36395
82	3289	36347
83	3325	36265
84	3369	36276
85	3409	36240
86	3460	36317
87	3505	36327
88	3554	36386
89	3600	36401
90	3650	36460
91	3701	36530
92	3748	36559
93	3792	36554
94	3837	36554
95	3883	36573
96	3935	36635
97	3980	36632
98	4027	36650
99	4074	36672
100	4125	36721
101	4172	36735
102	4223	36784
103	4277	36856
104	4323	36848
105	4372	36878
106	4427	36946
107	4469	36912
108	4517	36925
109	4566	36943
110	4614	36955
111	4658	36935
112	4709	36968
113	4754	36950
114	4800	36943
115	4845	36925
116	4892	36925
117	4934	36885
118	4979	36862
119	5027	36864
120	5076	36881
121	5127	36900
122	5165	36831
123	5208	36794
124	5254	36781
125	5303	36787
126	5353	36799
127	5407	36841
128	5458	36858
129	5509	36869
130	5566	36925
131	5617	36940
132	5673	36981
133	5730	37033
134	5784	37066
135	5829	37032
136	5873	36999
137	5909	36913
138	5957	36904
139	6001	36867
140	6053	36876
141	6102	36870
142	6150	36857
143	6190	36800
144	6236	36774
145	6276	36713
146	6320	36678
147	6366	36650
148	6416	36646
149	6469	36660
150	6524	36682
151	6554	36566
152	6613	36610
153	6666	36624
154	6721	36642
155	6767	36614
156	6826	36653
157	6876	36643
158	6927	36641
159	6977	36631
160	7029	36630
161	7076	36603
